date,state,location,fuel_type,price_cpl
2026-05-13,QLD,Brisbane,ulp91,175.6
2026-05-13,WA,Perth,diesel,193.7
2026-05-13,WA,Perth,p95,179.6
2026-05-13,WA,Perth,p98,189.7
2026-05-13,WA,Perth,ulp91,168.6
2026-05-14,QLD,Brisbane,diesel,199.5
2026-05-14,QLD,Brisbane,e10,177.4
2026-05-14,QLD,Brisbane,p95,187.1
2026-05-14,QLD,Brisbane,p98,201.5
2026-05-14,QLD,Brisbane,ulp91,176.0
2026-05-14,WA,Perth,diesel,195.3
2026-05-14,WA,Perth,p95,179.6
2026-05-14,WA,Perth,p98,189.6
2026-05-14,WA,Perth,ulp91,168.6
2026-05-15,VIC,Melbourne,diesel,196.2
2026-05-15,VIC,Melbourne,e10,172.8
2026-05-15,VIC,Melbourne,p98,196.8
2026-05-15,VIC,Melbourne,ulp91,171.2
2026-05-15,WA,Perth,diesel,197.6
2026-05-15,WA,Perth,p95,181.7
2026-05-15,WA,Perth,p98,191.8
2026-05-15,WA,Perth,ulp91,170.7
2026-05-16,QLD,Brisbane,diesel,199.2
2026-05-16,QLD,Brisbane,e10,176.8
2026-05-16,QLD,Brisbane,p95,187.0
2026-05-16,QLD,Brisbane,p98,201.4
2026-05-16,QLD,Brisbane,ulp91,175.4
2026-05-18,QLD,Brisbane,diesel,200.0
2026-05-18,QLD,Brisbane,e10,177.0
2026-05-18,QLD,Brisbane,p95,187.6
2026-05-18,QLD,Brisbane,p98,202.0
2026-05-18,QLD,Brisbane,ulp91,175.6
2026-05-18,WA,Perth,diesel,199.8
2026-05-18,WA,Perth,p95,184.1
2026-05-18,WA,Perth,p98,194.2
2026-05-18,WA,Perth,ulp91,173.1
2026-05-19,QLD,Brisbane,diesel,202.4
2026-05-19,QLD,Brisbane,e10,178.9
2026-05-19,QLD,Brisbane,p95,189.9
2026-05-19,QLD,Brisbane,p98,204.3
2026-05-19,QLD,Brisbane,ulp91,177.5
2026-05-19,VIC,Melbourne,diesel,198.6
2026-05-19,VIC,Melbourne,e10,174.7
2026-05-19,VIC,Melbourne,p98,198.7
2026-05-19,VIC,Melbourne,ulp91,173.0
2026-05-19,WA,Perth,diesel,202.1
2026-05-19,WA,Perth,p95,186.8
2026-05-19,WA,Perth,p98,196.9
2026-05-19,WA,Perth,ulp91,175.8
2026-05-20,QLD,Brisbane,diesel,204.2
2026-05-20,QLD,Brisbane,e10,181.0
2026-05-20,QLD,Brisbane,p95,192.2
2026-05-20,QLD,Brisbane,p98,206.6
2026-05-20,QLD,Brisbane,ulp91,179.6
2026-05-20,WA,Perth,diesel,203.7
2026-05-20,WA,Perth,p95,189.0
2026-05-20,WA,Perth,p98,199.0
2026-05-20,WA,Perth,ulp91,178.0
2026-05-21,QLD,Brisbane,diesel,206.1
2026-05-21,QLD,Brisbane,e10,182.3
2026-05-21,QLD,Brisbane,p95,193.5
2026-05-21,QLD,Brisbane,ulp91,180.9
2026-05-21,VIC,Melbourne,diesel,202.2
2026-05-21,VIC,Melbourne,e10,177.9
2026-05-21,VIC,Melbourne,p95,185.0
2026-05-21,VIC,Melbourne,p98,203.4
2026-05-21,VIC,Melbourne,ulp91,177.5
2026-05-21,WA,Perth,diesel,204.0
2026-05-21,WA,Perth,p95,189.5
2026-05-21,WA,Perth,p98,199.6
2026-05-21,WA,Perth,ulp91,178.5
